plant_name ,scientific_name,features,description
Alpinia Galanga (Rasna),Alpinia galanga,"Digestive aid, respiratory health, anti-inflammatory",A rhizomatous plant used in traditional medicine for its anti-inflammatory and digestive properties.
Amaranthus Viridis (Arive-Dantu),Amaranthus viridis,"Nutrient-rich, digestive aid, boosts immunity","A leafy vegetable rich in iron and vitamins, often used in salads and soups."
Artocarpus Heterophyllus (Jackfruit),Artocarpus heterophyllus,"Digestive aid, antioxidant, skin health",A large tropical fruit known for its fibrous texture and sweet taste; used in both savory and sweet dishes.
Azadirachta Indica (Neem),Azadirachta indica,"Skin health, antimicrobial, anti-inflammatory","A tree known for its medicinal properties, including antibacterial and antifungal effects; used in skincare and traditional medicine."
Basella Alba (Basale),Basella alba,"Rich in vitamins, digestive aid, antioxidant","Also known as Malabar spinach, this leafy green is high in vitamins and used in cooking."
Brassica Juncea (Indian Mustard),Brassica juncea,"Digestive aid, respiratory health, antioxidant",A plant whose seeds are used to produce mustard oil and as a spice; leaves are edible and nutritious.
Carissa Carandas (Karanda),Carissa carandas,"Antioxidant, digestive aid, anti-inflammatory",A berry-producing shrub with fruits rich in Vitamin C; used in pickles and preserves.
Citrus Limon (Lemon),Citrus limon,"Rich in vitamin C, digestive aid, detoxifying",A citrus fruit known for its sour taste and high vitamin C content; used in culinary dishes and beverages.
Ficus Auriculata (Roxburgh fig),Ficus auriculata,"Antioxidant, respiratory aid, digestive health",A tree with large leaves and edible figs; the fruits are used in various culinary dishes.
Ficus Religiosa (Peepal Tree),Ficus religiosa,"Anti-inflammatory, respiratory health, antioxidant","A sacred fig tree, known for its heart-shaped leaves; significant in various cultures and religions."
Hibiscus Rosa-sinensis,Hibiscus rosa-sinensis,"Improves skin health, digestive aid, antioxidant","A flowering plant known for its large, colorful blooms; used in teas and traditional medicine."
Jasminum (Jasmine),Jasminum,"Mood enhancer, skin care, respiratory aid",A fragrant flowering plant used in perfumery and aromatherapy.
Mangifera Indica (Mango),Mangifera indica,"Boosts immune system, improves digestion, rich in vitamins","A tropical fruit known for its sweet, juicy flesh; used in a variety of culinary dishes and desserts."
Mentha (Mint),Mentha,"Digestive aid, freshens breath, anti-inflammatory","An aromatic herb used in culinary dishes, teas, and for its refreshing taste; also used in traditional medicine."
Moringa Oleifera (Drumstick),Murraya koenigii,"Nutrient-rich, antioxidant, anti-inflammatory",Known for its nutrient-rich leaves and pods; used in various dishes and for its health benefits.
Muntingia Calabura (Jamaica Cherry-Gasagase),Muntingia calabura,"Antioxidant, anti-inflammatory, digestive aid","A small fruit-bearing tree with sweet, cherry-like fruits; the fruits are edible and rich in nutrients."
Murraya Koenigii (Curry),Murraya koenigii,"Digestive aid, antimicrobial, anti-inflammatory",A leafy herb used in cooking for its distinctive flavor; rich in antioxidants and used in traditional medicine.
Nerium Oleander (Oleander),Nerium oleander,"Cardiac stimulant, anti-inflammatory, antioxidant",A flowering plant known for its beauty and toxicity; used in landscaping but poisonous if ingested.
Nyctanthes Arbor-tristis (Parijata),Nyctanthes arbor-tristis,"Anti-inflammatory, analgesic, respiratory aid",A flowering tree known for its fragrant flowers; used in traditional medicine and for ornamental purposes.
Ocimum Tenuiflorum (Tulsi),Ocimum tenuiflorum,"Stress relief, respiratory aid, anti-inflammatory","Also known as Holy Basil, this plant is revered in many cultures and used for its medicinal properties."
Piper Betle (Betel),Piper betle,"Digestive aid, oral health, antibacterial properties",A vine whose leaves are used in traditional medicine and as a stimulant; commonly used in betel quid.
Plectranthus Amboinicus (Mexican Mint),Plectranthus amboinicus,"Respiratory aid, digestive aid, anti-inflammatory",An aromatic herb used in traditional medicine and cooking; known for its strong flavor and medicinal properties.
Pongamia Pinnata (Indian Beech),Pongamia pinnata,"Skin care, wound healing, antimicrobial",A tree used for its oil in biofuel production and traditional medicine; also known as Karanja.
Psidium Guajava (Guava),Psidium guajava,"Boosts immune system, improves digestion, reduces inflammation",A tropical fruit rich in vitamin C and dietary fiber; used in various culinary dishes.
Punica Granatum (Pomegranate),Punica granatum,"Antioxidant, anti-inflammatory, boosts immune system","A fruit known for its juicy, edible seeds rich in antioxidants; used in cooking and beverages."
Santalum Album (Sandalwood),Santalum album,"Skin care, anti-inflammatory, aromatic","A highly valued wood known for its fragrance; used in perfumery, aromatherapy, and traditional medicine."
Syzygium Cumini (Jamun),Syzygium cumini,"Diabetes management, antioxidant, anti-inflammatory",A tropical fruit known for its astringent taste and potential health benefits; used in traditional medicine.
Syzygium Jambos (Rose Apple),Syzygium jambos,"Antioxidant, anti-inflammatory, digestive aid",A fruit-bearing tree with rose-scented fruits; the fruits are edible and used in various dishes.
Tabernaemontana Divaricata (Crape Jasmine),Tabernaemontana divaricata,"Antimicrobial, anti-inflammatory, digestive aid","A flowering plant known for its white, fragrant flowers; used in traditional medicine."
Trigonella Foenum-graecum (Fenugreek),Trigonella foenum-graecum,"Digestive aid, anti-inflammatory, antioxidant",An herb and spice known for its seeds and leaves; used in cooking and traditional medicine.
